Title,Year,Director,Directors,Runtime_Minutes,Genre,IMDb_Rating,RT_Critic_Percent,RT_Audience_Percent,Theatrical_Score,Category,Director_Block,Franchise,Collection,Shelf_Section,Shelf_Order,4K_Status,HDR_Format,Dolby_Vision,Disc_Notes,Source_Notes,Metadata_Verified
Mad Max,1979,George Miller,George Miller,91,Action; Thriller; Science Fiction,6.8,89,,,Film,,,Mad Max Anthology,Collection shelf,125,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Mad Max 2,1981,George Miller,George Miller,96,Action; Thriller; Science Fiction,7.6,93,,,Film,,,Mad Max Anthology,Collection shelf,126,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Mad Max Beyond Thunderdome,1985,George Miller,George Miller; George Ogilvie,107,Action; Adventure; Science Fiction,6.2,80,,,Film,,,Mad Max Anthology,Collection shelf,127,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Mad Max: Fury Road,2015,George Miller,George Miller,121,Action; Adventure; Science Fiction,8.1,97,,,Film,,,Mad Max Anthology,Collection shelf,128,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
A Nightmare on Elm Street 7-Film Collection,1984,,,657,,5.9,57,,,Collection,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,129,4K UHD,,,,box set / non-film entry: not looked up against TMDB | aggregate of 7 disc(s) | aggregate of 7 disc(s) | aggregate of 7 disc(s) | aggregate of 7 disc(s) | aggregate of 7 disc(s) | aggregate of 7 disc(s),2026-09-07
A Nightmare on Elm Street,1984,Wes Craven,Wes Craven,91,Horror,7.4,94,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,130,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
A Nightmare on Elm Street Part 2: Freddy's Revenge,1985,Jack Sholder,Jack Sholder,87,Horror,5.5,47,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,131,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
A Nightmare on Elm Street 3: Dream Warriors,1987,Chuck Russell,Chuck Russell,96,Horror; Thriller; Fantasy,6.7,68,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,132,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
A Nightmare on Elm Street 4: The Dream Master,1988,Renny Harlin,Renny Harlin,93,Horror; Thriller,5.6,56,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,133,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
A Nightmare on Elm Street: The Dream Child,1989,Stephen Hopkins,Stephen Hopkins,89,Horror; Thriller,5.0,32,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,134,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Freddy's Dead: The Final Nightmare,1991,Rachel Talalay,Rachel Talalay,89,Horror; Thriller; Comedy; Fantasy,4.7,23,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,135,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
Wes Craven's New Nightmare,1994,Wes Craven,Wes Craven,112,Horror; Mystery; Fantasy,6.4,78,,,Film,,,A Nightmare on Elm Street 7-Film Collection,Collection shelf,136,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Purge 3-Movie Collection,2013,,,297,,6.1,51,,,Collection,,,The Purge 3-Movie Collection,Collection shelf,137,4K UHD,,,,box set / non-film entry: not looked up against TMDB | aggregate of 3 disc(s) | aggregate of 3 disc(s) | aggregate of 3 disc(s) | aggregate of 3 disc(s) | aggregate of 3 disc(s) | aggregate of 3 disc(s),2026-09-07
The Purge,2013,James DeMonaco,James DeMonaco,85,Science Fiction; Horror; Thriller,5.8,41,,,Film,,,The Purge 3-Movie Collection,Collection shelf,138,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Purge: Anarchy,2014,James DeMonaco,James DeMonaco,103,Horror; Thriller,6.4,58,,,Film,,,The Purge 3-Movie Collection,Collection shelf,139,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
The Purge: Election Year,2016,James DeMonaco,James DeMonaco,109,Action; Horror; Thriller,6.0,55,,,Film,,,The Purge 3-Movie Collection,Collection shelf,140,4K UHD,,,,RT audience score and Theatrical_Score have no free API source; set them in overrides.toml,2026-09-07
"Seven Worlds, One Planet",,,,,,,,,,Documentary,,,,Documentary shelf,141,4K UHD,,,,box set / non-film entry: not looked up against TMDB,2026-09-07
